fips_state,fips_place,fips_state_place,city_name,st_name,NYU_500_Largest,Year,census_population,15 to 44 years,18 years and over,65 years and over,pop_male,pop_female,pop_white,pop_black,pop_asian,pop_AIAN,pop_NHOPI,pop_nonhispanic,pop_hispanic
08,07850,0807850,Boulder city,Colorado,1,1990,83312,65.56,84.85000000000001,7.84,42065,41247,77090,1048,3152,414,56,79290,4022
08,09280,0809280,Broomfield city,Colorado,0,1990,24638,51.68000000000001,69.23,5.42,12457,12181,23236,166,524,159,4,23257,1381
08,16000,0816000,Colorado Springs city,Colorado,1,1990,281140,51.23,73.19,9.17,137611,143529,241513,19746,6279,2335,566,255478,25662
08,20000,0820000,Denver city,Colorado,1,1990,467610,49.88,78.0,13.86,227517,240093,337198,60046,10652,5381,353,360228,107382
08,27425,0827425,Fort Collins city,Colorado,1,1990,87758,60.529999999999994,77.56,7.7299999999999995,43512,44246,81877,856,2032,459,66,81561,6197
08,32155,0832155,Greeley city,Colorado,1,1990,60536,52.64,75.3,11.18,29356,31180,53936,408,556,366,51,48209,12327
08,36410,0836410,Highlands Ranch CDP,Colorado,0,1990,10181,57.13,66.0,1.39,5046,5135,9841,113,115,15,1,9841,340
08,43000,0843000,Lakewood city,Colorado,1,1990,126481,49.02,77.7,10.549999999999999,61352,65129,117819,1316,2369,872,66,114975,11506
08,45970,0845970,Longmont city,Colorado,1,1990,51555,48.94,71.47,9.91,25209,26346,47810,197,616,379,16,45840,5715
08,46465,0846465,Loveland city,Colorado,1,1990,37352,45.58,71.13000000000001,12.989999999999998,18038,19314,35436,111,252,179,14,34825,2527
08,62000,0862000,Pueblo city,Colorado,1,1990,98640,43.07,73.81,15.98,47332,51308,81824,2147,591,822,31,59671,38969
08,77290,0877290,Thornton city,Colorado,1,1990,55031,53.28000000000001,67.28,5.33,27029,28002,49357,699,883,501,28,45722,9309
08,83835,0883835,Westminster city,Colorado,1,1990,74625,55.22,70.46,4.75,36682,37943,67643,742,2722,468,33,66055,8570
09,08000,0908000,Bridgeport city,Connecticut,1,1990,141686,47.99,73.89,13.58,67270,74416,82945,37684,3257,405,31,104139,37547
09,18430,0918430,Danbury city,Connecticut,1,1990,65585,51.349999999999994,78.19,11.59,32242,33343,56897,4311,2562,132,20,60540,5045
09,37000,0937000,Hartford city,Connecticut,1,1990,139739,52.059999999999995,72.53,9.879999999999999,66639,73100,55869,54338,1994,450,30,95602,44137
09,50370,0950370,New Britain city,Connecticut,1,1990,75491,48.809999999999995,78.89,16.900000000000002,36053,39438,61605,5723,1323,130,25,63207,12284
09,52000,0952000,New Haven city,Connecticut,1,1990,130474,53.2,76.29,12.31,61366,69108,70263,47157,3113,402,28,113231,17243
09,55990,0955990,Norwalk city,Connecticut,1,1990,78331,49.54,79.88,12.629999999999999,37794,40537,62106,12123,1285,100,5,70992,7339
09,73000,0973000,Stamford city,Connecticut,1,1990,108056,48.449999999999996,79.85,13.26,51650,56406,82421,19217,2747,135,64,97494,10562
09,80000,0980000,Waterbury city,Connecticut,1,1990,108961,46.400000000000006,76.53999999999999,16.45,51508,57453,86681,14133,781,344,6,94383,14578
10,77580,1077580,Wilmington city,Delaware,1,1990,71529,47.260000000000005,75.08,14.790000000000001,33249,38280,30134,37446,309,156,6,66457,5072
